transform,k,inertia,silhouette,calinski_harabasz,davies_bouldin
power_yeojohnson,2,1652953.458191646,0.4941819864022492,533538.3968582263,0.7922630130122807
power_yeojohnson,3,1109734.7387409492,0.395055568543623,613634.010665637,0.9747634992206287
power_yeojohnson,4,830480.1346924654,0.3826341579711405,645694.4539975859,0.8631730007161129
power_yeojohnson,5,667608.548808916,0.37154916653272296,656305.1509391696,0.8542812795609318
power_yeojohnson,6,593830.8897285755,0.36286225701675584,612240.9437953983,0.8833729001234903
power_yeojohnson,7,526696.9697156844,0.33708697163132806,594002.1685019433,0.9897229680077789
power_yeojohnson,8,468853.50434887805,0.3323364019959611,587527.7608828328,0.9367426753809031
power_yeojohnson,9,416687.9171850268,0.33601432531269404,592274.4210888017,0.9126302740812847
power_yeojohnson,10,376592.5840654179,0.3351505639573643,592970.1230154987,0.876511072464902
log_standard,2,1715307.4589361257,0.5200978551681609,482021.1805089403,0.8779064809917689
log_standard,3,1269050.867744992,0.34851739901737666,481128.8952774448,1.031867505625802
log_standard,4,962124.7287255977,0.3617569627016216,517041.9709888626,0.8235832735606724
log_standard,5,743541.9820832959,0.3729369899104277,566726.8699195132,0.7524209160006922
log_standard,6,619921.7811654996,0.36890752991938064,579034.1768376947,0.7318668823680655
log_standard,7,551499.1733908684,0.36643061806879407,560674.4984961456,0.7627537449997871
log_standard,8,494045.6123415923,0.36449558088533074,551137.2299143341,0.8298960436472301
log_standard,9,450964.98326897464,0.34426362500597185,538875.0097369163,0.9015121998536448
log_standard,10,406817.5835250425,0.32862087288733827,541624.9716238636,0.9068894956333071
quantile_normal,2,2012266.7677668454,0.7440299494411208,2392850.2407504655,0.35494438076119994
quantile_normal,3,1467493.2317820727,0.375512930727703,1804618.319101913,0.9357595652399309
quantile_normal,4,1140531.4215195836,0.38525734867158573,1632520.3562178172,0.8205719607218447
quantile_normal,5,882366.9514788603,0.41172537997976705,1647192.804482204,0.6899922783489402
quantile_normal,6,755352.4657152363,0.39167199096394867,1569127.9530948105,0.7365349225738411
quantile_normal,7,677062.6306249944,0.3883083906572026,1475767.660444377,0.7555825965637348
quantile_normal,8,606794.3717808638,0.4009541595484209,1426015.7394129701,0.7090244388192655
quantile_normal,9,536119.9427176419,0.32480537379486196,1426821.404245046,0.8951530655212048
quantile_normal,10,493646.34989856085,0.3198118908026305,1385820.543592595,0.9041844319538128
